Date,Open,High,Low,Close,Adj Close,Volume
1/2/2009,31.394459,33.22493,31.003576,33.043789,25.723433,5360700
1/5/2009,32.862648,33.062855,32.414562,32.872181,25.589838,7326500
1/6/2009,33.196327,34.702652,33.196327,34.359436,26.74762,7553800
1/7/2009,33.959023,33.959023,32.58617,32.843578,25.56757,5969900
1/8/2009,32.624306,32.986584,32.223888,32.986584,25.678898,4573200
1/9/2009,33.3298,33.3298,32.042751,32.548035,25.337502,5815500
1/12/2009,32.405029,32.548035,31.842543,32.19529,25.062908,4530000
1/13/2009,32.128551,32.395496,31.31819,31.823475,24.773455,5365200
1/14/2009,31.461195,31.594666,30.21228,30.507824,23.749273,6359200
1/15/2009,30.584095,31.289587,29.792797,31.108448,24.216835,7048000
1/16/2009,31.527929,31.651869,30.7271,31.403992,24.446905,7480600
1/20/2009,31.280054,31.899744,30.021606,30.059742,23.400455,7177600
1/21/2009,30.536427,31.032179,29.726061,30.879639,24.038717,5696200
1/22/2009,30.517359,30.841505,29.821398,30.479223,23.727013,6970700
1/23/2009,29.621191,31.032179,29.535387,30.708033,23.905127,5886700
1/26/2009,30.717566,31.785339,30.450623,31.632801,24.625029,9147300
1/27/2009,31.804407,32.538502,31.585133,32.328762,25.166807,6855300
1/28/2009,32.872181,33.596741,32.719643,33.091457,25.76054,7124500
1/29/2009,32.719643,32.99612,31.003576,31.146582,24.246521,9499100
1/30/2009,31.19425,32.643372,30.812902,31.280054,24.35043,8553600
2/2/2009,30.812902,30.955908,29.888134,30.345753,23.623104,7607100
2/3/2009,30.57456,30.584095,29.573523,30.21228,23.519196,8801000
2/4/2009,30.250416,31.756739,30.250416,30.841505,24.009031,7933100
2/5/2009,29.869068,31.365858,29.764196,31.003576,24.135206,7574500
2/6/2009,31.384924,32.080883,31.108448,31.880676,24.817993,7895000
2/9/2009,31.918812,32.109486,31.375391,31.985548,24.89963,4863900
2/10/2009,31.623266,32.128551,30.259949,30.479223,23.727013,7442900
2/11/2009,31.775806,31.976013,30.221813,30.688965,23.890285,5490100
